fold,sample_id,base_mof_id,mof_name,atom_idx,element,x,y,z,subgraphx_onem,in_cekirdek_alt_graf
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,13,C,4.712252616882324,-6.322839260101318,-0.7367855906486511,0.9599845061695459,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,14,O,3.7717020511627197,-6.854783535003662,-1.3697998523712158,0.9600776235302119,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,15,O,-1.7290925979614258,-5.686819553375244,0.006766439415514469,0.9600619058288573,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,16,O,0.3135167956352234,-5.663691520690918,1.699571967124939,0.9201525137458243,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,17,C,0.03800203651189804,-0.5408393740653992,-6.1320695877075195,0.9598978571722984,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,18,O,-0.8360447883605957,-1.142167329788208,-6.8001227378845215,0.9600453731369263,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,19,O,-0.9785524010658264,1.5175526142120361,-6.728533744812012,0.9600517163042775,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,20,O,3.0211617946624756,0.3495886027812958,-6.863499641418457,0.9600688678749639,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,21,Ho,2.7076449394226074,0.36115261912345886,-4.502338409423828,0.9197868025705387,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,22,Ho,2.042609453201294,-5.420847415924072,-2.3665170669555664,0.9599046599125504,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,23,Ho,-2.7076449394226074,0.08361661434173584,4.503749370574951,0.959918816487491,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,24,Ho,-2.042609453201294,5.865616798400879,2.3679280281066895,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,25,C,1.9096022844314575,3.0324366092681885,-2.956805467605591,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,26,C,0.03800203651189804,-0.5408393740653992,6.096930503845215,0.9598931958671572,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,27,C,2.8786542415618896,3.529688596725464,-4.028156757354736,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,28,C,-4.151722431182861,0.22238461673259735,-4.866262912750244,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,29,C,2.8406522274017334,-2.749563455581665,-3.9120497703552246,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,30,C,4.712252616882324,5.2411603927612305,-0.7367855906486511,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,31,C,1.8716002702713013,-2.2523114681243896,-2.840698480606079,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,32,C,-0.5985320806503296,-5.559615612030029,-0.49105992913246155,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,33,C,-1.9096022844314575,-2.587667465209961,2.958216667175293,0.9598978571722984,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,34,C,-0.03800203651189804,0.9856086373329163,-6.095519542694092,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,35,C,-2.8786542415618896,-3.0849194526672363,4.029567718505859,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,36,C,4.151722431182861,0.22238461673259735,4.867673873901367,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,37,C,-2.8406522274017334,3.1943325996398926,3.9134607315063477,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,38,C,-4.712252616882324,-4.796391487121582,0.7381966710090637,0.9598943615430451,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,39,C,-1.8716002702713013,2.697080612182617,2.842109441757202,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,40,C,0.5985320806503296,-5.559615612030029,0.49247097969055176,1.0,True
1,finetune_000025_v00,finetune_000025,Ho(CO2)4,41,O,1.7955962419509888,1.7835246324539185,-2.828606128692627,0.9599520749270117,True
